MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2006 to Jun 2026


SORA Value Date,,,SORA Publication Date,SORA
,,05,08 Aug 2011,0.0391
,,08,10 Aug 2011,0.0588
,,10,11 Aug 2011,0.0310
,,11,12 Aug 2011,0.0054
,,12,15 Aug 2011,0.0186
,,15,16 Aug 2011,0.0215
,,16,17 Aug 2011,0.0375
,,17,18 Aug 2011,0.0811
,,18,19 Aug 2011,0.1000
,,19,22 Aug 2011,0.0694
,,22,23 Aug 2011,0.1090
,,23,24 Aug 2011,0.1017
,,24,25 Aug 2011,0.0790
,,25,26 Aug 2011,0.0367
,,26,29 Aug 2011,0.0433
,,29,31 Aug 2011,0.0262
,,31,01 Sep 2011,0.0559
,Sep,01,02 Sep 2011,0.0304
,,02,05 Sep 2011,0.0422
,,05,06 Sep 2011,0.0294
,,06,07 Sep 2011,0.0363
,,07,08 Sep 2011,0.0399
,,08,09 Sep 2011,0.0501
,,09,12 Sep 2011,0.0547
,,12,13 Sep 2011,0.0697
,,13,14 Sep 2011,0.0561
,,14,15 Sep 2011,0.0613
,,15,16 Sep 2011,0.0772
,,16,19 Sep 2011,0.0614
,,19,20 Sep 2011,0.0373
,,20,21 Sep 2011,0.0690
,,21,22 Sep 2011,0.0527
,,22,23 Sep 2011,0.0596
,,23,26 Sep 2011,0.0848
,,26,27 Sep 2011,0.0731
,,27,28 Sep 2011,0.0692
,,28,29 Sep 2011,0.0308
,,29,30 Sep 2011,0.0204
,,30,03 Oct 2011,0.0476
,Oct,03,04 Oct 2011,0.0736
,,04,05 Oct 2011,0.0483
,,05,06 Oct 2011,0.0477
,,06,07 Oct 2011,0.0288
,,07,10 Oct 2011,0.0221
,,10,11 Oct 2011,0.0227
,,11,12 Oct 2011,0.0287
,,12,13 Oct 2011,0.0285
,,13,14 Oct 2011,0.0300
,,14,17 Oct 2011,0.0448
,,17,18 Oct 2011,0.0941
,,18,19 Oct 2011,0.0602
,,19,20 Oct 2011,0.0741
,,20,21 Oct 2011,0.0664
,,21,24 Oct 2011,0.0611
,,24,25 Oct 2011,0.0535
,,25,27 Oct 2011,0.0602
,,27,28 Oct 2011,0.0547
,,28,31 Oct 2011,0.0495
,,31,01 Nov 2011,0.0844
,Nov,01,02 Nov 2011,0.0867
,,02,03 Nov 2011,0.1044
,,03,04 Nov 2011,0.0468
,,04,08 Nov 2011,0.0205
,,08,09 Nov 2011,0.0328
,,09,10 Nov 2011,0.0265
,,10,11 Nov 2011,0.0431
,,11,14 Nov 2011,0.0396
,,14,15 Nov 2011,0.0227
,,15,16 Nov 2011,0.0232
,,16,17 Nov 2011,0.0361
,,17,18 Nov 2011,0.0571
,,18,21 Nov 2011,0.1046
,,21,22 Nov 2011,0.1846
,,22,23 Nov 2011,0.2282
,,23,24 Nov 2011,0.0828
,,24,25 Nov 2011,0.0379
,,25,28 Nov 2011,0.0586
,,28,29 Nov 2011,0.0452
,,29,30 Nov 2011,0.0726
,,30,01 Dec 2011,0.0424
,Dec,01,02 Dec 2011,0.0268
,,02,05 Dec 2011,0.0222
,,05,06 Dec 2011,0.0272
,,06,07 Dec 2011,0.0311
,,07,08 Dec 2011,0.0499
,,08,09 Dec 2011,0.0444
,,09,12 Dec 2011,0.0792
,,12,13 Dec 2011,0.0588
,,13,14 Dec 2011,0.0617
,,14,15 Dec 2011,0.1281
,,15,16 Dec 2011,0.0716
,,16,19 Dec 2011,0.0377
,,19,20 Dec 2011,0.0291
,,20,21 Dec 2011,0.0367
,,21,22 Dec 2011,0.0319
,,22,23 Dec 2011,0.0407
,,23,27 Dec 2011,0.0341
,,27,28 Dec 2011,0.0523
,,28,29 Dec 2011,0.0345
,,29,30 Dec 2011,0.0480
,,30,03 Jan 2012,0.1011


SORA Value Date,,,SORA Publication Date,SORA
2012,Jan,03,04 Jan 2012,0.0275
,,04,05 Jan 2012,0.0362
,,05,06 Jan 2012,0.0705
,,06,09 Jan 2012,0.0931
,,09,10 Jan 2012,0.0443
,,10,11 Jan 2012,0.0382
,,11,12 Jan 2012,0.0310
,,12,13 Jan 2012,0.0226
,,13,16 Jan 2012,0.0309
,,16,17 Jan 2012,0.0301
,,17,18 Jan 2012,0.0405
,,18,19 Jan 2012,0.0378
,,19,20 Jan 2012,0.0610
,,20,25 Jan 2012,0.1179
,,25,26 Jan 2012,0.1191
,,26,27 Jan 2012,0.1212
,,27,30 Jan 2012,0.0653
,,30,31 Jan 2012,0.0945
,,31,01 Feb 2012,0.0937
,Feb,01,02 Feb 2012,0.0864
,,02,03 Feb 2012,0.0913
,,03,06 Feb 2012,0.0260
,,06,07 Feb 2012,0.0306
,,07,08 Feb 2012,0.0252
,,08,09 Feb 2012,0.0413
,,09,10 Feb 2012,0.0294
,,10,13 Feb 2012,0.0381
,,13,14 Feb 2012,0.0228
,,14,15 Feb 2012,0.0465
,,15,16 Feb 2012,0.0407
,,16,17 Feb 2012,0.0444
,,17,20 Feb 2012,0.0216
,,20,21 Feb 2012,0.0170
,,21,22 Feb 2012,0.0310
,,22,23 Feb 2012,0.0238
,,23,24 Feb 2012,0.0251
,,24,27 Feb 2012,0.0232
,,27,28 Feb 2012,0.0234
,,28,29 Feb 2012,0.0368
,,29,01 Mar 2012,0.0517
,Mar,01,02 Mar 2012,0.0520
,,02,05 Mar 2012,0.0580
,,05,06 Mar 2012,0.0609
,,06,07 Mar 2012,0.0313
,,07,08 Mar 2012,0.0375
,,08,09 Mar 2012,0.0338
,,09,12 Mar 2012,0.0314
,,12,13 Mar 2012,0.0273
,,13,14 Mar 2012,0.0349
,,14,15 Mar 2012,0.0374
,,15,16 Mar 2012,0.0476
,,16,19 Mar 2012,0.0646
,,19,20 Mar 2012,0.0935
,,20,21 Mar 2012,0.0564
,,21,22 Mar 2012,0.0427
,,22,23 Mar 2012,0.0263
,,23,26 Mar 2012,0.0216
,,26,27 Mar 2012,0.0253
,,27,28 Mar 2012,0.0317
,,28,29 Mar 2012,0.0603
,,29,30 Mar 2012,0.0426
,,30,02 Apr 2012,0.0367
,Apr,02,03 Apr 2012,0.0386
,,03,04 Apr 2012,0.0200
,,04,05 Apr 2012,0.0301
,,05,09 Apr 2012,0.0206
,,09,10 Apr 2012,0.0308
,,10,11 Apr 2012,0.0183
,,11,12 Apr 2012,0.0235
,,12,13 Apr 2012,0.0248
,,13,16 Apr 2012,0.0292
,,16,17 Apr 2012,0.0240
,,17,18 Apr 2012,0.0227
,,18,19 Apr 2012,0.0330
,,19,20 Apr 2012,0.0258
,,20,23 Apr 2012,0.0196
,,23,24 Apr 2012,0.0266
,,24,25 Apr 2012,0.0271
,,25,26 Apr 2012,0.0428
,,26,27 Apr 2012,0.0482
,,27,30 Apr 2012,0.0510
,,30,02 May 2012,0.0779
,May,02,03 May 2012,0.0873
,,03,04 May 2012,0.0912
,,04,07 May 2012,0.1657
,,07,08 May 2012,0.1077
,,08,09 May 2012,0.0577
,,09,10 May 2012,0.0271
,,10,11 May 2012,0.0298
,,11,14 May 2012,0.0467
,,14,15 May 2012,0.0615
,,15,16 May 2012,0.0576
,,16,17 May 2012,0.0430
,,17,18 May 2012,0.0336
,,18,21 May 2012,0.0439
,,21,22 May 2012,0.0257
,,22,23 May 2012,0.0375
,,23,24 May 2012,0.0342
,,24,25 May 2012,0.0385
,,25,28 May 2012,0.0465
,,28,29 May 2012,0.0370
,,29,30 May 2012,0.0504
,,30,31 May 2012,0.0444
,,31,01 Jun 2012,0.0482
,Jun,01,04 Jun 2012,0.0319
,,04,05 Jun 2012,0.0278
,,05,06 Jun 2012,0.0568
,,06,07 Jun 2012,0.0705
,,07,08 Jun 2012,0.0556
,,08,11 Jun 2012,0.0645
,,11,12 Jun 2012,0.0470
,,12,13 Jun 2012,0.0386
,,13,14 Jun 2012,0.0686
,,14,15 Jun 2012,0.0549
,,15,18 Jun 2012,0.0595
,,18,19 Jun 2012,0.0353
,,19,20 Jun 2012,0.0767
,,20,21 Jun 2012,0.0969
,,21,22 Jun 2012,0.0570
,,22,25 Jun 2012,0.0552
,,25,26 Jun 2012,0.0371
,,26,27 Jun 2012,0.0278
,,27,28 Jun 2012,0.0420
,,28,29 Jun 2012,0.0317
,,29,02 Jul 2012,0.0517
,Jul,02,03 Jul 2012,0.0292
,,03,04 Jul 2012,0.0194
,,04,05 Jul 2012,0.0259
,,05,06 Jul 2012,0.0178
,,06,09 Jul 2012,0.0497
,,09,10 Jul 2012,0.0218
,,10,11 Jul 2012,0.0285
,,11,12 Jul 2012,0.0406
,,12,13 Jul 2012,0.0229
,,13,16 Jul 2012,0.0366
,,16,17 Jul 2012,0.0278
,,17,18 Jul 2012,0.0402
,,18,19 Jul 2012,0.0336
,,19,20 Jul 2012,0.0670
,,20,23 Jul 2012,0.0575
,,23,24 Jul 2012,0.0490
,,24,25 Jul 2012,0.1025
,,25,26 Jul 2012,0.0878
,,26,27 Jul 2012,0.0837
,,27,30 Jul 2012,0.1271
,,30,31 Jul 2012,0.1419
,,31,01 Aug 2012,0.1474
,Aug,01,02 Aug 2012,0.0852
,,02,03 Aug 2012,0.0384
,,03,06 Aug 2012,0.0448
,,06,07 Aug 2012,0.0526
,,07,08 Aug 2012,0.0524
,,08,10 Aug 2012,0.0892
,,10,13 Aug 2012,0.0667
,,13,14 Aug 2012,0.0817
,,14,15 Aug 2012,0.0854
,,15,16 Aug 2012,0.1453
,,16,17 Aug 2012,0.1062
,,17,21 Aug 2012,0.0628
,,21,22 Aug 2012,0.0839
,,22,23 Aug 2012,0.0597
,,23,24 Aug 2012,0.0993
,,24,27 Aug 2012,0.0934
,,27,28 Aug 2012,0.0690
,,28,29 Aug 2012,0.0360
,,29,30 Aug 2012,0.0449
,,30,31 Aug 2012,0.0542
,,31,03 Sep 2012,0.0890
,Sep,03,04 Sep 2012,0.0530
,,04,05 Sep 2012,0.0674
,,05,06 Sep 2012,0.0540
,,06,07 Sep 2012,0.0468
,,07,10 Sep 2012,0.0552
,,10,11 Sep 2012,0.0702
,,11,12 Sep 2012,0.0657
,,12,13 Sep 2012,0.0707
,,13,14 Sep 2012,0.0383
,,14,17 Sep 2012,0.0573
,,17,18 Sep 2012,0.0590
,,18,19 Sep 2012,0.0444
,,19,20 Sep 2012,0.0558
,,20,21 Sep 2012,0.0550
,,21,24 Sep 2012,0.0590
,,24,25 Sep 2012,0.1103
,,25,26 Sep 2012,0.1750
,,26,27 Sep 2012,0.1795
,,27,28 Sep 2012,0.2697
,,28,01 Oct 2012,0.2963
,Oct,01,02 Oct 2012,0.2163
,,02,03 Oct 2012,0.0834
,,03,04 Oct 2012,0.0198
,,04,05 Oct 2012,0.0246
,,05,08 Oct 2012,0.0159
,,08,09 Oct 2012,0.0313
,,09,10 Oct 2012,0.0247
,,10,11 Oct 2012,0.0339
,,11,12 Oct 2012,0.0310
,,12,15 Oct 2012,0.0279
,,15,16 Oct 2012,0.0301
,,16,17 Oct 2012,0.0452
,,17,18 Oct 2012,0.0704
,,18,19 Oct 2012,0.0522
,,19,22 Oct 2012,0.0320
,,22,23 Oct 2012,0.0608
,,23,24 Oct 2012,0.0880
,,24,25 Oct 2012,0.1364
,,25,29 Oct 2012,0.1739
,,29,30 Oct 2012,0.0943
,,30,31 Oct 2012,0.0489
,,31,01 Nov 2012,0.0666
,Nov,01,02 Nov 2012,0.0235
,,02,05 Nov 2012,0.0642
,,05,06 Nov 2012,0.0415
,,06,07 Nov 2012,0.0269
,,07,08 Nov 2012,0.0238
,,08,09 Nov 2012,0.0282
,,09,12 Nov 2012,0.0421
,,12,14 Nov 2012,0.0312
,,14,15 Nov 2012,0.0963
,,15,16 Nov 2012,0.1786
,,16,19 Nov 2012,0.1301
,,19,20 Nov 2012,0.0455
,,20,21 Nov 2012,0.0406
,,21,22 Nov 2012,0.0283
,,22,23 Nov 2012,0.0256
,,23,26 Nov 2012,0.0329
,,26,27 Nov 2012,0.0492
,,27,28 Nov 2012,0.0528
,,28,29 Nov 2012,0.0502
,,29,30 Nov 2012,0.0620
,,30,03 Dec 2012,0.0981
,Dec,03,04 Dec 2012,0.0957
,,04,05 Dec 2012,0.1174
,,05,06 Dec 2012,0.0532
,,06,07 Dec 2012,0.0314
,,07,10 Dec 2012,0.0247
,,10,11 Dec 2012,0.0253
,,11,12 Dec 2012,0.0201
,,12,13 Dec 2012,0.0306
,,13,14 Dec 2012,0.0283
,,14,17 Dec 2012,0.0441
,,17,18 Dec 2012,0.1101
,,18,19 Dec 2012,0.0743
,,19,20 Dec 2012,0.0560
,,20,21 Dec 2012,0.0196
,,21,24 Dec 2012,0.0359
,,24,26 Dec 2012,0.0550
,,26,27 Dec 2012,0.1099
,,27,28 Dec 2012,0.0991
,,28,31 Dec 2012,0.0637
,,31,02 Jan 2013,0.0380


SORA Value Date,,,SORA Publication Date,SORA
2013,Jan,02,03 Jan 2013,0.0189
,,03,04 Jan 2013,0.0194
,,04,07 Jan 2013,0.0228
,,07,08 Jan 2013,0.0285
,,08,09 Jan 2013,0.0327
,,09,10 Jan 2013,0.0202
,,10,11 Jan 2013,0.0247
,,11,14 Jan 2013,0.0224
,,14,15 Jan 2013,0.0235
,,15,16 Jan 2013,0.0274
,,16,17 Jan 2013,0.0266
,,17,18 Jan 2013,0.0255
,,18,21 Jan 2013,0.0517
,,21,22 Jan 2013,0.0567
,,22,23 Jan 2013,0.0605
,,23,24 Jan 2013,0.1034
,,24,25 Jan 2013,0.0629
,,25,28 Jan 2013,0.0365
,,28,29 Jan 2013,0.0442
,,29,30 Jan 2013,0.0511
,,30,31 Jan 2013,0.0503
,,31,01 Feb 2013,0.0715
,Feb,01,04 Feb 2013,0.0589
,,04,05 Feb 2013,0.0712
,,05,06 Feb 2013,0.0266
,,06,07 Feb 2013,0.0226
,,07,08 Feb 2013,0.0317
,,08,13 Feb 2013,0.0767
,,13,14 Feb 2013,0.0793
,,14,15 Feb 2013,0.0921
,,15,18 Feb 2013,0.0991
,,18,19 Feb 2013,0.0423
,,19,20 Feb 2013,0.0396
,,20,21 Feb 2013,0.0197
,,21,22 Feb 2013,0.0406
,,22,25 Feb 2013,0.0414
,,25,26 Feb 2013,0.0306
,,26,27 Feb 2013,0.0391
,,27,28 Feb 2013,0.0546
,,28,01 Mar 2013,0.0657
,Mar,01,04 Mar 2013,0.0659
,,04,05 Mar 2013,0.0501
,,05,06 Mar 2013,0.0409
,,06,07 Mar 2013,0.0504
,,07,08 Mar 2013,0.0244
,,08,11 Mar 2013,0.0281
,,11,12 Mar 2013,0.0360
,,12,13 Mar 2013,0.0346
,,13,14 Mar 2013,0.0228
,,14,15 Mar 2013,0.0190
,,15,18 Mar 2013,0.0390
,,18,19 Mar 2013,0.0398
,,19,20 Mar 2013,0.0860
,,20,21 Mar 2013,0.0986
,,21,22 Mar 2013,0.0628
,,22,25 Mar 2013,0.1109
,,25,26 Mar 2013,0.0439
,,26,27 Mar 2013,0.0315
,,27,28 Mar 2013,0.0187
,,28,01 Apr 2013,0.0334
,Apr,01,02 Apr 2013,0.0224
,,02,03 Apr 2013,0.0321
,,03,04 Apr 2013,0.0194
,,04,05 Apr 2013,0.0213
,,05,08 Apr 2013,0.0297
,,08,09 Apr 2013,0.0222
,,09,10 Apr 2013,0.0320
,,10,11 Apr 2013,0.0615
,,11,12 Apr 2013,0.0489
,,12,15 Apr 2013,0.0392
,,15,16 Apr 2013,0.0278
,,16,17 Apr 2013,0.0316
,,17,18 Apr 2013,0.0637
,,18,19 Apr 2013,0.0449
,,19,22 Apr 2013,0.0364
,,22,23 Apr 2013,0.0322
,,23,24 Apr 2013,0.0264
,,24,25 Apr 2013,0.0336
,,25,26 Apr 2013,0.0373
,,26,29 Apr 2013,0.0483
,,29,30 Apr 2013,0.0763
,,30,02 May 2013,0.1010
,May,02,03 May 2013,0.0804
,,03,06 May 2013,0.0881
,,06,07 May 2013,0.0766
,,07,08 May 2013,0.0355
,,08,09 May 2013,0.0387
,,09,10 May 2013,0.0334
,,10,13 May 2013,0.0244
,,13,14 May 2013,0.0273
,,14,15 May 2013,0.0262
,,15,16 May 2013,0.0268
,,16,17 May 2013,0.0340
,,17,20 May 2013,0.0575
,,20,21 May 2013,0.0695
,,21,22 May 2013,0.1007
,,22,23 May 2013,0.0965
,,23,27 May 2013,0.1355
,,27,28 May 2013,0.0694
,,28,29 May 2013,0.0564
,,29,30 May 2013,0.0588
,,30,31 May 2013,0.0761
,,31,03 Jun 2013,0.0537
,Jun,03,04 Jun 2013,0.0341
,,04,05 Jun 2013,0.0394
,,05,06 Jun 2013,0.0435
,,06,07 Jun 2013,0.0211
,,07,10 Jun 2013,0.0180
,,10,11 Jun 2013,0.0177
,,11,12 Jun 2013,0.0291
,,12,13 Jun 2013,0.0273
,,13,14 Jun 2013,0.0355
,,14,17 Jun 2013,0.0300
,,17,18 Jun 2013,0.0292
,,18,19 Jun 2013,0.0330
,,19,20 Jun 2013,0.0427
,,20,21 Jun 2013,0.0549
,,21,24 Jun 2013,0.0632
,,24,25 Jun 2013,0.0616
,,25,26 Jun 2013,0.0483
,,26,27 Jun 2013,0.0476
,,27,28 Jun 2013,0.0526
,,28,01 Jul 2013,0.0478
,Jul,01,02 Jul 2013,0.0646
,,02,03 Jul 2013,0.0638
,,03,04 Jul 2013,0.0698
,,04,05 Jul 2013,0.0633
,,05,08 Jul 2013,0.0358
,,08,09 Jul 2013,0.0251
,,09,10 Jul 2013,0.0361
,,10,11 Jul 2013,0.0209
,,11,12 Jul 2013,0.0354
,,12,15 Jul 2013,0.0443
,,15,16 Jul 2013,0.0351
,,16,17 Jul 2013,0.0400
,,17,18 Jul 2013,0.0251
,,18,19 Jul 2013,0.0372
,,19,22 Jul 2013,0.0434
,,22,23 Jul 2013,0.0373
,,23,24 Jul 2013,0.0436
,,24,25 Jul 2013,0.0718
,,25,26 Jul 2013,0.0414
,,26,29 Jul 2013,0.0423
,,29,30 Jul 2013,0.0774
,,30,31 Jul 2013,0.0533
,,31,01 Aug 2013,0.0522
,Aug,01,02 Aug 2013,0.0315
,,02,05 Aug 2013,0.0291
,,05,06 Aug 2013,0.0319
,,06,07 Aug 2013,0.0504
,,07,12 Aug 2013,0.0498
,,12,13 Aug 2013,0.0505
,,13,14 Aug 2013,0.0265
,,14,15 Aug 2013,0.0341
,,15,16 Aug 2013,0.0485
,,16,19 Aug 2013,0.0401
,,19,20 Aug 2013,0.0307
,,20,21 Aug 2013,0.0353
,,21,22 Aug 2013,0.0730
,,22,23 Aug 2013,0.0657
,,23,26 Aug 2013,0.0649
,,26,27 Aug 2013,0.0418
,,27,28 Aug 2013,0.0358
,,28,29 Aug 2013,0.0558
,,29,30 Aug 2013,0.0455
,,30,02 Sep 2013,0.0308
,Sep,02,03 Sep 2013,0.0376
,,03,04 Sep 2013,0.0348
,,04,05 Sep 2013,0.0435
,,05,06 Sep 2013,0.0218
,,06,09 Sep 2013,0.0175
,,09,10 Sep 2013,0.0340
,,10,11 Sep 2013,0.0269
,,11,12 Sep 2013,0.0372
,,12,13 Sep 2013,0.0265
,,13,16 Sep 2013,0.0415
,,16,17 Sep 2013,0.0230
,,17,18 Sep 2013,0.0342
,,18,19 Sep 2013,0.0263
,,19,20 Sep 2013,0.0300
,,20,23 Sep 2013,0.0250
,,23,24 Sep 2013,0.0292
,,24,25 Sep 2013,0.0174
,,25,26 Sep 2013,0.0229
,,26,27 Sep 2013,0.0245
,,27,30 Sep 2013,0.0236
,,30,01 Oct 2013,0.0522
,Oct,01,02 Oct 2013,0.0228
,,02,03 Oct 2013,0.0558
,,03,04 Oct 2013,0.0825
,,04,07 Oct 2013,0.1221
,,07,08 Oct 2013,0.1475
,,08,09 Oct 2013,0.0831
,,09,10 Oct 2013,0.0823
,,10,11 Oct 2013,0.1224
,,11,14 Oct 2013,0.1284
,,14,16 Oct 2013,0.1924
,,16,17 Oct 2013,0.0599
,,17,18 Oct 2013,0.0711
,,18,21 Oct 2013,0.0703
,,21,22 Oct 2013,0.0275
,,22,23 Oct 2013,0.0293
,,23,24 Oct 2013,0.0299
,,24,25 Oct 2013,0.0294
,,25,28 Oct 2013,0.0295
,,28,29 Oct 2013,0.0479
,,29,30 Oct 2013,0.0516
,,30,31 Oct 2013,0.0357
,,31,01 Nov 2013,0.0318
,Nov,01,04 Nov 2013,0.0292
,,04,05 Nov 2013,0.0367
,,05,06 Nov 2013,0.0250
,,06,07 Nov 2013,0.0171
,,07,08 Nov 2013,0.0245
,,08,11 Nov 2013,0.0441
,,11,12 Nov 2013,0.0736
,,12,13 Nov 2013,0.1887
,,13,14 Nov 2013,0.3913
,,14,15 Nov 2013,0.1015
,,15,18 Nov 2013,0.0375
,,18,19 Nov 2013,0.0833
,,19,20 Nov 2013,0.1083
,,20,21 Nov 2013,0.0944
,,21,22 Nov 2013,0.0299
,,22,25 Nov 2013,0.0388
,,25,26 Nov 2013,0.0425
,,26,27 Nov 2013,0.0423
,,27,28 Nov 2013,0.0164
,,28,29 Nov 2013,0.0327
,,29,02 Dec 2013,0.0466
,Dec,02,03 Dec 2013,0.0333
,,03,04 Dec 2013,0.0757
,,04,05 Dec 2013,0.0973
,,05,06 Dec 2013,0.0700
,,06,09 Dec 2013,0.0384
,,09,10 Dec 2013,0.0314
,,10,11 Dec 2013,0.0254
,,11,12 Dec 2013,0.0433
,,12,13 Dec 2013,0.0180
,,13,16 Dec 2013,0.0331
,,16,17 Dec 2013,0.0326
,,17,18 Dec 2013,0.0371
,,18,19 Dec 2013,0.0511
,,19,20 Dec 2013,0.0497
,,20,23 Dec 2013,0.0784
,,23,24 Dec 2013,0.0965
,,24,26 Dec 2013,0.0949
,,26,27 Dec 2013,0.0264
,,27,30 Dec 2013,0.0311
,,30,31 Dec 2013,0.0217
,,31,02 Jan 2014,0.0698


SORA Value Date,,,SORA Publication Date,SORA
2014,Jan,02,03 Jan 2014,0.0446
,,03,06 Jan 2014,0.0259
,,06,07 Jan 2014,0.0370
,,07,08 Jan 2014,0.0358
,,08,09 Jan 2014,0.0390
,,09,10 Jan 2014,0.0290
,,10,13 Jan 2014,0.0399
,,13,14 Jan 2014,0.0541
,,14,15 Jan 2014,0.0403
,,15,16 Jan 2014,0.0381
,,16,17 Jan 2014,0.0356
,,17,20 Jan 2014,0.0451
,,20,21 Jan 2014,0.0474
,,21,22 Jan 2014,0.0468
,,22,23 Jan 2014,0.0509
,,23,24 Jan 2014,0.0479
,,24,27 Jan 2014,0.0557
,,27,28 Jan 2014,0.0521
,,28,29 Jan 2014,0.0610
,,29,30 Jan 2014,0.0577
,,30,03 Feb 2014,0.0467
,Feb,03,04 Feb 2014,0.0593
,,04,05 Feb 2014,0.0169
,,05,06 Feb 2014,0.0237
,,06,07 Feb 2014,0.0124
,,07,10 Feb 2014,0.0376
,,10,11 Feb 2014,0.0347
,,11,12 Feb 2014,0.0288
,,12,13 Feb 2014,0.0284
,,13,14 Feb 2014,0.0364
,,14,17 Feb 2014,0.0422
,,17,18 Feb 2014,0.0453
,,18,19 Feb 2014,0.0518
,,19,20 Feb 2014,0.0576
,,20,21 Feb 2014,0.0325
,,21,24 Feb 2014,0.0300
,,24,25 Feb 2014,0.0242
,,25,26 Feb 2014,0.0214
,,26,27 Feb 2014,0.0343
,,27,28 Feb 2014,0.0874
,,28,03 Mar 2014,0.1482
,Mar,03,04 Mar 2014,0.0869
,,04,05 Mar 2014,0.0709
,,05,06 Mar 2014,0.0667
,,06,07 Mar 2014,0.0437
,,07,10 Mar 2014,0.0434
,,10,11 Mar 2014,0.0483
,,11,12 Mar 2014,0.0841
,,12,13 Mar 2014,0.0785
,,13,14 Mar 2014,0.0826
,,14,17 Mar 2014,0.0475
,,17,18 Mar 2014,0.0530
,,18,19 Mar 2014,0.0702
,,19,20 Mar 2014,0.0671
,,20,21 Mar 2014,0.0462
,,21,24 Mar 2014,0.0534
,,24,25 Mar 2014,0.0629
,,25,26 Mar 2014,0.0799
,,26,27 Mar 2014,0.0806
,,27,28 Mar 2014,0.0943
,,28,31 Mar 2014,0.1915
,,31,01 Apr 2014,0.2129
,Apr,01,02 Apr 2014,0.0756
,,02,03 Apr 2014,0.0679
,,03,04 Apr 2014,0.0400
,,04,07 Apr 2014,0.0430
,,07,08 Apr 2014,0.0319
,,08,09 Apr 2014,0.0325
,,09,10 Apr 2014,0.0225
,,10,11 Apr 2014,0.0370
,,11,14 Apr 2014,0.0541
,,14,15 Apr 2014,0.0380
,,15,16 Apr 2014,0.0539
,,16,17 Apr 2014,0.0693
,,17,21 Apr 2014,0.0686
,,21,22 Apr 2014,0.0686
,,22,23 Apr 2014,0.0735
,,23,24 Apr 2014,0.0888
,,24,25 Apr 2014,0.0958
,,25,28 Apr 2014,0.0601
,,28,29 Apr 2014,0.0858
,,29,30 Apr 2014,0.0863
,,30,02 May 2014,0.1691
,May,02,05 May 2014,0.1091
,,05,06 May 2014,0.0632
,,06,07 May 2014,0.0866
,,07,08 May 2014,0.0762
,,08,09 May 2014,0.0893
,,09,12 May 2014,0.0734
,,12,14 May 2014,0.1105
,,14,15 May 2014,0.1111
,,15,16 May 2014,0.0603
,,16,19 May 2014,0.0572
,,19,20 May 2014,0.0526
,,20,21 May 2014,0.0483
,,21,22 May 2014,0.0705
,,22,23 May 2014,0.1016
,,23,26 May 2014,0.0606
,,26,27 May 2014,0.0365
,,27,28 May 2014,0.0674
,,28,29 May 2014,0.1205
,,29,30 May 2014,0.1147
,,30,02 Jun 2014,0.1550
,Jun,02,03 Jun 2014,0.0753
,,03,04 Jun 2014,0.0578
,,04,05 Jun 2014,0.0246
,,05,06 Jun 2014,0.0182
,,06,09 Jun 2014,0.0312
,,09,10 Jun 2014,0.0365
,,10,11 Jun 2014,0.0267
,,11,12 Jun 2014,0.0305
,,12,13 Jun 2014,0.0415
,,13,16 Jun 2014,0.0338
,,16,17 Jun 2014,0.0385
,,17,18 Jun 2014,0.0373
,,18,19 Jun 2014,0.0490
,,19,20 Jun 2014,0.0643
,,20,23 Jun 2014,0.1109
,,23,24 Jun 2014,0.1051
,,24,25 Jun 2014,0.1101
,,25,26 Jun 2014,0.1627
,,26,27 Jun 2014,0.0939
,,27,30 Jun 2014,0.0742
,,30,01 Jul 2014,0.0692
,Jul,01,02 Jul 2014,0.0572
,,02,03 Jul 2014,0.0448
,,03,04 Jul 2014,0.0350
,,04,07 Jul 2014,0.0340
,,07,08 Jul 2014,0.0393
,,08,09 Jul 2014,0.0380
,,09,10 Jul 2014,0.0244
,,10,11 Jul 2014,0.0381
,,11,14 Jul 2014,0.0402
,,14,15 Jul 2014,0.0434
,,15,16 Jul 2014,0.0614
,,16,17 Jul 2014,0.0886
,,17,18 Jul 2014,0.0995
,,18,21 Jul 2014,0.1463
,,21,22 Jul 2014,0.1146
,,22,23 Jul 2014,0.0376
,,23,24 Jul 2014,0.0258
,,24,25 Jul 2014,0.0499
,,25,29 Jul 2014,0.0604
,,29,30 Jul 2014,0.0458
,,30,31 Jul 2014,0.0511
,,31,01 Aug 2014,0.0830
,Aug,01,04 Aug 2014,0.0762
,,04,05 Aug 2014,0.0443
,,05,06 Aug 2014,0.0335
,,06,07 Aug 2014,0.0497
,,07,08 Aug 2014,0.0428
,,08,11 Aug 2014,0.0613
,,11,12 Aug 2014,0.0484
,,12,13 Aug 2014,0.0600
,,13,14 Aug 2014,0.0540
,,14,15 Aug 2014,0.0569
,,15,18 Aug 2014,0.0743
,,18,19 Aug 2014,0.0770
,,19,20 Aug 2014,0.0706
,,20,21 Aug 2014,0.0903
,,21,22 Aug 2014,0.1059
,,22,25 Aug 2014,0.1627
,,25,26 Aug 2014,0.0817
,,26,27 Aug 2014,0.1204
,,27,28 Aug 2014,0.1103
,,28,29 Aug 2014,0.1897
,,29,01 Sep 2014,0.1766
